Username,Text,Followers,Likes,Retweets,Urgency,Credibility
Taj_Ali1,BREAKING: Over 40 MPs have called on the UK Government to impose sanctions on Israel for its repeated violations of international law in Palestine.The motion comes as the Spanish &amp; Irish Governments this week urged the EU to suspend the bloc's free trade agreement with Israel.,59751,453,184,16,27
mwendefrey,Israel is burning Palestine children alive . Why isn't the UN doing something about it? Or Palestine kids don't matter?,46771,56,15,4,7
RaniaKhalek,It’s an asymmetric war for sure but in 2024 Israel doesn’t get to genocide in comfort. Some recent developments as Israel burns Palestine in the south and Lebanon in the north:Israeli army: Rockets were launched from Lebanon towards Tel Aviv.Israeli Channel 12: An El Al,327365,159,36,42,75
Worldsource24,#BREAKING: Telegraph: Israel is "considering surrender or starve plan" in the northern third of the Gaza Strip; 400000 people would have a week to leave and those left will be seen as “Enemy Combatants”,39884,76,28,14,21
MonitorX99800,BREAKING – Hezbollah in a statement: "The range of our missiles will increase day by day towards the depth of Israel" ⚡At least 3 ballistic missiles have been launched so far towards the central sector.,15335,25,5,31,18
sayinshallah,Israel just bombed a camp in Palestine where they have videos of children being burnt aliveThe modern day holocaust is happening right in front of our eyes,36781,22,1,9,17
GodCloseMyEyes,coates' take on israel palestine isn't surprising it's just the same oversimplified take that has prevailed in america regarding our own history. he's honestly right to wonder why there is any pushback over applying this to zionism.,63430,129,14,0,18
warintel4u,#BREAKING Al Mayadeen's correspondent: Two Ballastic missiles were fired from Lebanon towards Israel marking the first launch of this type.,69272,311,98,47,32
AaronRegunberg,It’s honestly very rare that politics and morality align so closely and clearly. It’d be so easy. “Israel isn’t heeding our calls. It’s time to stop sending weapons that are now breaking our laws.” Good god.,13161,185,37,3,8
agraybee,A criminally under-discussed element of Israel/Palestine is that it's now clear Netanyahu is waiting to see who the next president is before making his next move. He apparently talks with Trump regularly and I don't think they're talking ceasefire plans.,32947,452,102,10,10
MariamBarghouti,Israel is committing crimes across Palestine from Jenin to Deir El-Ballah and regionally towards Lebanon.This regime must be stopped IMMEDIATELY. Failure to act by international state and non-state actors means that all representatives must be changed in their failure to,178399,205,96,2,42
VoteHarrisOut,BREAKING: Kamala Harris is sending the US military to Israel to be boots on the ground in the middle of a war. This could lead to World War 3.,151351,596,181,52,62
HenMazzig,Commenting “free Palestine” on a post about Yom Kippur or Sukkot is antisemiticCelebrating a Jewish holiday has nothing to do with the war in Gaza Lebanon &amp; IranJews won’t stop practicing our faith just to satisfy trolls offended by any mention of Judaism or Israel this year,241167,393,40,0,21
MatthewParrott,Take notes.Today is a helpful reminder of why my support for Palestine is muted.Hamas openly supports the narrative that my claim to my American homeland is as illegitimate as Israel's claim to Gaza City.,3505,18,2,0,3
OHCHR_Palestine,The UN Human Rights Office is appalled by Israel’s continued bombing and other attacks on parts of North #Gaza where its forces have trapped tens of thousands of Palestinians including civilians in their homes and shelters with no access to food or other life-sustaining,6379,104,58,11,6
HensonJames11,Breaking: UK sanctions Iranian officials while arming Israel who are committing genocide.,16108,139,55,9,13
DougAMacgregor,BREAKING: United States to put boots on the ground in Israel after agreeing to supply THADD missile systems to aid their war with Hamas..,377042,1802,583,42,78
seyi_laleye,The NFF/Libya issue is why I have no dog in the Israel  vs Palestine .None of them gives a damn about the Blacks.,758,11,5,0,2
Hegelbon,The guy who streams from a cabin and looks kind of but not quite Amish is pro Israel and anti Palestine? Now I’m a little surprised he seemed pretty leftist…..,17189,12,0,0,11
GeneralMCNews,BREAKING: Israel plans to carry out a strike on Iran before the U.S. elections on November 5th.,94868,181,65,39,32
YourAnonOne,BREAKING : Netanyahu tells U.S. that Israel will strike Iranian military not nuclear or oil targets officials say.,1771088,319,37,27,97
EliAfriatISR,BREAKING NEWS : Washington Post: Netanyahu told Biden in their last conversation that Israel would attack military infrastructure in Iran and not nuclear or oil facilities.,75575,130,26,26,75
YourAnonTV,BREAKING: Netanyahu tells U.S. that Israel will strike Iranian military not nuclear or oil targets officials say - Washington Post,479169,62,13,26,81
JewishWarrior13,BREAKING Washington Post: Netanyahu reportedly told Biden that Israel will NOT attack Iran's nuclear or oil facilities.,60739,325,38,27,60
TheInsiderPaper,BREAKING: Netanyahu tells U.S. that Israel will strike Iranian military not nuclear or oil targets officials say - Washington Post,382717,542,144,27,79
MarchandSurgery,BREAKING: The Biden and @KamalaHarris/@VP administration is sending US troops to Israel today!,243360,47,13,42,78
VividProwess,It was never about “Palestine.”It was always about the complete annihilation of Israel and the Jewish people.Do not be fooled.,190779,1047,165,3,63
zauberberg188,RealTimeDailyNews «BREAKING: Israeli Prime Minister Netanyahu officially approves plans to attack Iran.»P.S. Was 9/11 a false flag to attack Irak? Was 10/7 a false flag to attack Gaza Lebanon and Iran? Was there a coordination between the US and Israel?,9903,15,2,19,18
YourAnonOne,BREAKING : Israeli Broadcasting Authority: Israel plans a "major response" after Hezbollah attack on a Golani Brigade camp.,1771088,233,28,38,97
PookieJane3429,So it has been confirmed again that Israel is not allowing aid into the North…None has been allowed in since 10/01/24…Even after dumb ass @KamalaHarris said they needed to allow it in just last night…As of 27 minutes ago the IOF denied trucks that wanted to enter the,4417,12,5,2,9
danielgoyal,The choice is not whether to support Israel or Palestine.The choice is whether to support war crimes or not…Whether to support the international laws that protect us all or not…Whether to choose civilisation or not.It’s not about sides anymore…It’s about humanity!,98313,1064,344,0,62
intelFromBrian,Channel 12 Israel:Defense Minister tells families of hostages in Gaza that no deal with Hamas is on the horizon,14208,75,20,24,16
Worldsource24,#BREAKING: White House National Security Council spokesperson: "The images and video of what appear to be displaced civilians burning alive following an Israeli air strike are deeply disturbing and we have made our concerns clear to the Israeli government. Israel has a,39894,19,8,6,24
OHCHR_Palestine,Horrified that an Israel airstrike killed at least 5 children as they played in front of Afwa &amp; Aafiyah kindergarten in #Gaza City on 13 October.  Deeply concerned at another strike where the victims were all children. The Israeli military must spare all civilians including,6451,1012,537,10,9
intelFromBrian,Channel 14 Israel quoting a senior Israeli security official: - The response to the Iranian attack will be strong- Israel must be prepared for the Iranian response,14208,35,11,32,14
intelFromBrian, Kan Hebrew Channel from an informed source:Israel is preparing a large-scale attack in Lebanon including Beirut in response to the targeting of the Golani camp.,14208,49,14,31,10
franmcnulty,BREAKING: Israeli PM again calls for UNIFIL to stand aside “the best way to assure the safety of UNIFIL personnel is for UNIFIL to heed Israel's request &amp; to temporarily get out of harm’s way” says Netanyahu says Israel is fighting Hezbollah not UNIFIL or people of Lebanon,27914,10,6,27,27
YepBoomer,Feeling down? There’s an episode of Bill Maher’s podcast where Bill Burr repeatedly humiliates him from roughly start to finish including on his Palestine and Israel takes.,6593,30,0,0,7
nour_zeidan,I hope I live long enough to see the end of Israel and a Free Palestine.,23220,24,8,0,18
Worldsource24,#BREAKING: The Israeli Prime Minister's Office: "We listen to the opinions of the American administration but we will make our final decisions based on Israel's national interests",39899,30,9,18,24
SwannMarcus89,Hasan and Asmongold debating Israel/Palestine sounds like the kind of thing Satan would force you to watch on repeat while burning in Hell,52628,532,56,0,10
VyprCEO,While X has either suspended or censored most my frens on the positive I’m seeing large accounts breaking their silence everyday.The overton window has moved so much that siding with israel is now shunned immoral and evil.It took a year to expose a century of lies.,9239,41,10,0,9
mishtal,Breaking: Another terrorist attack in IsraelThis time a shooting near Ashdod. Two hurt - one in critical condition. All they want to do is murder Jews.And you know who will not condemn it?@amnesty And who will try not to mention it?@BBCNews This is the world we live in.,204971,105,33,69,73
StandWithUs,BREAKING: Reports of a shooting attack near Ashdod southern Israel. At least 2 people injured. More to follow.,351683,32,20,70,81
guyelster,#BREAKING Israel’s Security Services said a suicide bombing attack in Tel Aviv in August was directed by Hamas’ headquarters in Turkey,29737,27,10,78,31
ecomarxi,Brianna Wu: Israel burning Palestinian children alive is a gift we need more of this we need zero international laws and to allow Israel to commit unfathomable crimes with impunityPerson: You are a piece of shitBrianna: Look! The Free Palestine crowd are such violent bigots,165891,281,77,3,67
BackupBrainy,Bhosadpill logicIsrael Palestine war is unrelated to us brooo.. no need to hate Palestine brooo Same bhosadpill few moments later: Israel is bad .. Jews bad.. Talmud bad..,2901,25,3,0,2
dangbanamanager,Christians in Nigeria are quick to support Israel while Muslims stand with Palestine. Yet when it comes to fighting for the country whose passport you hold you become indifferent. You allow corrupt politicians to divide you through tribalism and religion. Will you ever wake up,16531,10,7,0,12
JackStr42679640,#BREAKING: Israel plans to carry out a strike on Iran before the U.S. elections on November 5th.GeneralMCNews,252782,16,1,59,88
PastorBob1776,QFS is undeniably Coming: US Dolllar domination Downfall? War between Russia and Ukraine Relationship between Russia and Israel as a result of Israel Palestine war? Watch and learn. Do the needful while you can.,6796,9,5,11,5
DrEliDavid, Breaking: Biden-Kamala administration threatens to impose an arms embargo if Israel does any of the following: Attack Iran's nuclear or oil facilities Attack Hezbollah in Beirut Stop aid to north Gaza  Pass laws against UNRWASource: @Now14Israel @Tamir114,727887,630,183,64,89
madisontayt_,extremely new york looking guy with the thickest dialect just walked into this coffee shop and he was talking about islam to his buddy and i immediately clenched my teeth expecting the worst but then he just wound up talking about how israel/palestine ISNT a religious conflict,25545,191,3,0,11
Worldsource24,#BREAKING: Kann News: Israel briefed the Biden administration on the general goals of the planned attack on Iran but not on specific targets. Sources aware of the details: "The goals can change even in the 90th minute",39927,38,7,32,11
LKTranslator,BREAKING: Joe Biden told Israel that if it doesn't end the humanitarian crisis in Gaza within 30 days he will impose an arms embargo. Upon hearing the news seventeen AIPAC donors passed out x,256981,261,70,59,76
aziz0nomics,Peace and coexistence in Israel and Palestine is the most logical answer.A bright and vibrant future.Nobody has to fight each other any longer.Then we can focus on more useful stuff like eradicating poverty fixing environmental problems and colonising other planets.,48788,198,19,0,18
HistoryBoomer,If you say Israel/Palestine is a complicated topic to write about it’s guaranteed that two people will immediately pop into your replies saying it’s not complicated at all and then proceed to offer completely opposite “not complicated” explanations.,18285,81,4,0,12
intelFromBrian,The US State Department threatens Israel : “If there is no change in the entry of aid to the residents of the Gaza Strip - there will be consequences.",14213,57,5,55,5
intelFromBrian,US State Department: We still believe that Israel is not taking sufficient steps to avoid harming civilians in Gaza,14213,43,10,28,11
HenMazzig,You want to hate Israel? Go ahead.But there’s a fine line between hating a country’s policies &amp; its people.And there is a finer line between hating its people &amp; anyone with the same religion.Too many Free Palestine activists have crossed it.,241325,335,47,0,78
myeongwen,More and more convinced that the Israel-Palestine conflict can't be brushed aside as a matter of brown desert brother wars. I have no idea who Asmongold is; on the surface it's easy to say that it's "based" that he "doesn't care" about the brown "desert savages" - but this...,1449,18,1,0,2
EliAfriatISR,BREAKING NEWS : Security sources for the foreign networks - Iran will have to respond to the Israeli attack. The place chosen is a place that Iran cannot control according to the sources Israel and Iran are on the way to exchanging blows.,76117,101,24,38,45
MakimaRespecter,I’m not pro palestine but why are rw accounts running cover for Israel firebombing hospitals?,3172,52,2,0,2
Breaking911,BREAKING: Biden administration warns Israel to boost humanitarian aid into Gaza or risk weapons funding - AP,1075635,198,45,58,95
KingLucythe1st,I can't help wondering whether the world's response to the horrors being inflicted on the citizens of Palestine by Israel would be different if those people were pink instead of brown.  The whole thing shames every person who is not screaming against Israel's murderous actions.,3722,58,10,0,3
nykyt0sha,Regardless of who wins Israel or Palestine one thing is clear.Syria is not getting Golan Heights back,30277,71,1,0,15
moghaoui,My summary Of Qassem's speech [Hezbollah Deputy Secretary]Naim Qassem kicked off his speech with the usual fiery rhetoric about liberating Palestine and ridding the world of the “threat” of Israel. But by the end he’s offering a ceasefire in return of the settlers heading back,9822,28,3,2,7
MaisieLynn17,In case y’all forgot:Fuck Israel.Free Palestine.,39755,654,65,0,14
sorkincel,The Druze in the golan hieghts should colonize all of Israel and Palestine,3928,19,0,0,2
aayeff1,The genesis of the Israel-Palestine problem didnt begin in the middle east.It began in Europe as antisemitism. It waa driven by Nazi Germany &amp;  eventually ended in a holocaust with millions of Jews dead and many more displaced.The Jews were victims in Europe.However the..1/n,10114,11,2,0,6
TribesBritannia,BREAKING: Germany says there are no signs of Israel committing genocide in Gaza. THANK YOU!!! We know.,58076,391,31,11,24
IsabelO20183051,The German government Gives weapons to Israel Sees no genocide Justify targeting civilians Persecute pro Palestine views &amp; people Arm Nazi militias in Ukraine Nazism has resurfaced in Germany &amp; is invading the EU.,7005,68,25,15,8
nour_zeidan,May we all live to see the downfall of Israel and a Free Palestine.,23252,108,47,0,11
LandPalestine,We deleted the Liam Payne post where he says  We love Israel out of respect for his soul,4693,28,0,0,3
WhereAeliaBled,saw someone who was anti israel and anti palestine??????,1553,13,0,0,1
TruthNinja316,I'm going to keep it 100 right here.  Kamala Harris is using a VERY old political tactic right now.  "Stick to the script".  She needs to win or lose just be authentic.  If she believes in open borders or thinks Palestine is being genocided by Israel or whatever she just,24604,15,3,0,22
RDog861,Breaking: Baier asks about the biggest threat America faces.  She had answered Iran and then shows the video. Baier then asks why her Administration is not acting while Iran is the major threat?  She says she was in the Situation Room and talks about helping Israel defend against,115857,25,10,0,78
StandWithUs,BREAKING: Over the last 20 minutes several red alert sirens have sounded in the areas of Arabah and southern Negev in southern Israel. Details to follow.,351798,114,32,69,87
madisontayt_,could you guys imagine glee trying to do an october 7th/israel-palestine storyline?,25593,104,1,0,22
warintel4u,#BREAKING Reports of heavy fighting at the Israel-Lebanon border between Israeli forces and Hezbollah fighters.,69916,162,25,59,58
iamharaldur,The stories from Palestine are beyond parody.The NY Times reports that the Israel army routinely uses captured people as human shields. Detainees are sent in to check for mines to scout dangerous areas to move objects that Israeli forces fear might be booby trapped.A war,288858,3255,527,3,88
BronzyGuevara, Israel would NOT exist without U.S. taxpayer dollars.It is 100% an artificial and fake country which has no right to exist. Palestine is the rightful owner of the land with Al Quds her Capital!,8483,46,10,0,7
Worldsource24,#BREAKING: An Iraqi militia called “Awliyaa al-Dam” is threatening to bomb Israel’s Dimona nuclear reactor.,39953,97,24,64,30
Zlatti_71,How many wars are we aiming for right now?Russia Ukraine Israel Yemen Syria Turkey Lebanon Palestine Iran Saudi Arabia USA North Korea South Korea China and Taiwan Japan…Are we going all in?  Shall we?,152765,122,17,0,79
beinlibertarian,What is the realistic end game for the  Israel-Palestine conflict?What is the realistic end game for the Russia-Ukraine conflict?,238872,246,18,0,88
riotgrandma72,Watching series 7 of the West Wing ~ the election one2006.The issues:Pro-lifeAbortion on demandPacifying the religious rightAppointing rightwing judgesAnd Israel/PalestineUnbelievable!#USElection,16735,30,7,0,14
rafkhach,One of the most pernicious legacies of '90s political discourse surrounding Oslo and Camp David was that Israel and Palestine were two entities negotiating in relative parity.,6269,17,0,0,7
manerhushi1,BREAKING: CNN reports that Israel's plan to strike Iran is now ready,7065,31,0,68,6
EuropeInvasionn,BREAKING NEWSCNN reports that Israel's plan to strike Iran is now ready. A massive attack is expected.,568796,2106,229,69,89
spectatorindex,BREAKING: CNN reports that Israel's plan to strike Iran is now ready,2907414,5662,914,66,99
Worldsource24,#BREAKING: German Chancellor Olaf Scholz in a speech today to the Bundestag urged Iran to stop its missile strikes in Israel saying "We won't accept Iran attacking Israel... Iran is playing with fire. This must stop.",39953,60,11,32,28
TheInsiderPaper,BREAKING - Britain is considering sanctioning Israel's finance minister Bezalel Smotrich and national security minister Itamar Ben-Gvir  over comments they made about civilians in Gaza and West Bank settlers Prime Minister Keir Starmer said on Wednesday - Reuters,382840,142,36,18,84
IsraelWarRoom,#BREAKING: IDF requests that civilians evacuate two Hezbollah stronghold neighborhoods south of Beirut,340044,345,55,59,78
eyuplovely,I hate a fake country called Israel because I don’t like killing people and I like a real country called palestine because I like people who try to stop others killing people,38184,843,112,0,11
MrGBees,If you are stressing over #StormAshley remember… there are families in Palestine being blown to bits tonight by Israel.You have it good.,2835,26,2,0,1
wildbarestepf,omg someone needs to grab the clip of the woman proposing that Elon buy an island off the coast of Israel 'like the Chinese' and move Palestine lmfaoooo,51158,27,1,0,20
WholeMarsBlog,An audience member just suggested building in island off the coast of israel called palestine from the “rubble” in gaza,531897,65,0,0,88
ThatSeriousMan2,Absolutely insane that the genocide is Palestine is going on. Don’t even know what to say anymore. Supporting Israel after single murder in Gaza would be proof of the West’s moral bankruptcy. We are now well over 40000 deaths and counting,2542,41,5,0,2
aziz0nomics,Peace between Israel and Palestine:Moderate Palestinians: "I consent" Moderate Zionists: "I consent" Western anti-Zionists: "I do not." Isn't there someone you forgot to ask?,49874,538,37,0,19
intelFromBrian,#BREAKINGJerusalem Post citing a diplomatic source : Israel plans to respond to the assassination attempt on Netanyahu by Hezbollah and Iran is responsible,14253,68,10,46,10
PatTheSocialist,If the polls keep slipping away from Kamala expect her to make a slight shift re Palestine. Just know it will be unauthentic pandering bullshit and never come to pass. "Elect me and I'll tie funding to US access to investigate Israel" kind of crap.,71898,306,72,0,24
WafulaPhilip5,I do not think Israel willever have  peace  unless they start seeing Palestinians  their neighbours ashuman beings  too whose only land is Palestine and who also need peace.,12793,22,3,0,11
VividProwess,BREAKING: The Israeli Air Force is relentlessly bombing Hamas cells in the north of the Gaza Strip. The explosions can be heard all across southern Israel.,199893,2065,304,49,78
TamarGlezerman,God grant me the confidence of an unaffected man explaining Israel-Palestine to me.,2915,133,6,0,1
sahouraxo,BREAKING: Israel is dropping bombs on homes in Beit Lahia Northern Gaza deliberately targeting civilians. 73 Palestinians have been killed so far.Homes destroyed. Families buried alive under the rubble. This is a massacre.,646984,1319,947,38,87
zadokq244514,I have an announcementI announce Peace in Israel/Palestine and the Middle East.To the Jews; Jesus/Yeshua is our messiah We are Christian’s now. We will have Christians and Muslims living together as brothers and sisters in peace.We need to abolish the Talmud and embrace,33064,61,10,0,76
NourNaim88, Breaking: A horrific massacre underway! Families fleeing Israeli bombings in Jabalia to Beit Lahia in northern #Gaza were targeted as Israel struck a residential area resulting in at least 73 killings and 100 injuries.There are NO hospitals NO media coverage and NO,49778,1213,1090,46,26
HerNameIs_Bea,Israel just murdered at least 60 Palestinians and injured at least 100 in fresh attacks on #BeitLahia #Gaza #PalestineThese 60 people alone should cause a crescendo level anger and a DEMAND to stop the MURDERING MACHINE!!!,70903,18,15,48,30
MilesTaylorUSA,BREAKING — CNN: The US is investigating a leak of highly classified US intelligence about Israel’s plans for retaliation against Iran. This is very much “not good.”,237181,12346,2903,67,76
